sector,company_name,avg_return,ranking
Auto,BAJAJ-AUTO,0.204588,1
Auto,HEROMOTOCO,0.113771,2
Auto,EICHERMOT,0.099412,3
Banking,ICICIBANK,0.083931,1
Banking,SBIN,0.072191,2
Banking,AXISBANK,0.036022,3
Energy,NTPC,0.168678,1
Energy,POWERGRID,0.167057,2
Energy,BPCL,0.151554,3
FMCG,ITC,0.094889,1
FMCG,BRITANNIA,0.036329,2
FMCG,NESTLEIND,0.030341,3
Infra,ABB,0.211213,1
Infra,SIEMENS,0.187981,2
Infra,LT,0.125764,3
IT,HCLTECH,0.151767,1
IT,TECHM,0.137028,2
IT,WIPRO,0.101532,3
Media,SUNTV,0.094991,1
Media,PVRINOX,-0.044600,2
Media,DISHTV,-0.073498,3
Metal,VEDL,0.152686,1
Metal,COALINDIA,0.152615,2
Metal,HINDALCO,0.062648,3
Pharma,SUNPHARMA,0.140261,1
Pharma,DIVISLAB,0.135944,2
Pharma,APOLLOHOSP,0.111956,3
Realty,PRESTIGE,0.298158,1
Realty,BRIGADE,0.225076,2
Realty,OBEROIRLTY,0.216510,3
