company_name,sector,avg_return
PRESTIGE,Realty,0.298158
BRIGADE,Realty,0.225076
ABB,Infra,0.211213
BAJAJ-AUTO,Auto,0.204588
SIEMENS,Infra,0.187981
NTPC,Energy,0.168678
POWERGRID,Energy,0.167057
VEDL,Metal,0.152686
COALINDIA,Metal,0.152615
HCLTECH,IT,0.151767
BPCL,Energy,0.151554
SUNPHARMA,Pharma,0.140261
TECHM,IT,0.137028
DIVISLAB,Pharma,0.135944
ONGC,Energy,0.128781
SUNTV,Media,0.094991
ITC,FMCG,0.094889
ICICIBANK,Banking,0.083931
SBIN,Banking,0.072191
BRITANNIA,FMCG,0.036329
NESTLEIND,FMCG,0.030341
